Supplier code;Supplier loading order;Supplier dock;Supplier dock loading order;Plant code;Plant dock;Plant dock loading order;Product code;Arrival time;Id truck;Length;Width;Height;Max weight;Stack with multiple docks;Max density;Max weight on the bottom item in stacks;Cost;EMmm;EMmr;CM;CJfm;CJfc;CJfh;EM;EJhr;EJcr;EJeh
11593800;1;;1;90016100;E4;1;110423928R;2,02E+11;P200226203;13500;2440;2900;24000;0;1500;100000;1500;12000;31500;7808;3800;1040;3330;7300;7630;2350;1670
11593800;1;;1;90016100;K32;3;167009230R;2,02E+11;P193226701;13500;2440;3000;24000;1;800;100000;1500;12000;31500;7808;3800;1040;3330;7300;7630;2350;1670
11593800;1;;1;90016100;K32;3;132859023R;2,02E+11;P193226701;13500;2440;3000;24000;1;800;100000;1500;12000;31500;7808;3800;1040;3330;7300;7630;2350;1670
11593800;1;;1;90016100;F14;2;8200848455;2,02E+11;P193226701;13500;2440;3000;24000;1;800;100000;1500;12000;31500;7808;3800;1040;3330;7300;7630;2350;1670
11593800;1;;1;90016100;E4;3;8200825471;2,02E+11;P192011101;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808;3800;1040;3330;7300;7630;2350;1670
11593800;1;;1;90016100;E4;3;121001269R;2,02E+11;P192011101;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808;3800;1040;3330;7300;7630;2350;1670
11593800;1;;1;90016100;E4;3;121007180R;2,02E+11;P192011101;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808;3800;1040;3330;7300;7630;2350;1670
11593800;1;;1;90016100;K32;1;140013553R;2,02E+11;P192011101;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808;3800;1040;3330;7300;7630;2350;1670
11593800;1;;1;90016100;K32;1;165786344R;2,02E+11;P192011101;13500;2440;3000;25000;0;1500;750;1500;12000;31500;7808;3800;1040;3330;7300;7630;2350;1670
11593800;1;;1;90016100;K32;1;208A09116R;2,02E+11;P245226103;13500;2440;2900;24000;0;1500;100000;1500;12000;31500;7808;3800;1040;3330;7300;7630;2350;1670
